dt,power_mw,GHI,Clearsky GHI,DHI,DNI,Temperature,Relative Humidity,Solar Zenith Angle,Cloud Type,Wind Speed,da_power_mw,ha4_power_mw,hour,month,is_daytime,clearsky_ratio
2006-01-01 00:00:00,0.0,0,0,0,0,2.0,85.07000000000001,166.32,0,1.4,0.0,0.0,0,1,0,0.0
2006-01-01 00:30:00,0.0,0,0,0,0,1.8,86.3,164.85,0,1.5,0.0,0.0,0,1,0,0.0
2006-01-01 01:00:00,0.0,0,0,0,0,1.5,77.26,161.15,1,1.5,0.0,0.0,1,1,0,0.0
2006-01-01 01:30:00,0.0,0,0,0,0,1.6,76.71000000000001,156.25,0,1.5,0.0,0.0,1,1,0,0.0
2006-01-01 02:00:00,0.0,0,0,0,0,1.6,65.78,150.76,1,1.4,0.0,0.0,2,1,0,0.0
2006-01-01 02:30:00,0.0,0,0,0,0,1.7000000000000002,65.32000000000001,144.98,8,1.4,0.0,0.0,2,1,0,0.0
2006-01-01 03:00:00,0.0,0,0,0,0,1.8,57.18,139.05,7,1.3,0.0,0.0,3,1,0,0.0
2006-01-01 03:30:00,0.0,0,0,0,0,1.7000000000000002,57.59,133.05,7,1.3,0.0,0.0,3,1,0,0.0
2006-01-01 04:00:00,0.0,0,0,0,0,1.7000000000000002,53.82,127.04,7,1.3,0.0,0.0,4,1,0,0.0
2006-01-01 04:30:00,0.0,0,0,0,0,1.5,54.59,121.05,7,1.4,0.0,0.0,4,1,0,0.0
2006-01-01 05:00:00,0.0,0,0,0,0,1.4,53.52,115.11,7,1.4,0.0,0.0,5,1,0,0.0
2006-01-01 05:30:00,0.0,0,0,0,0,1.3,53.91,109.25,7,1.4,0.0,0.0,5,1,0,0.0
2006-01-01 06:00:00,0.0,0,0,0,0,1.2000000000000002,53.1,103.49,7,1.5,0.0,0.0,6,1,0,0.0
2006-01-01 06:30:00,0.0,0,0,0,0,1.4,52.35,97.87,7,1.5,5.5,5.5,6,1,0,0.0
2006-01-01 07:00:00,0.0,0,0,0,0,1.7000000000000002,53.52,92.42,6,1.6,11.0,11.0,7,1,0,0.0
2006-01-01 07:30:00,0.016666666666666666,12,36,12,0,3.3000000000000003,47.78,86.96000000000001,6,1.6,24.6,24.6,7,1,1,0.3333333333333333
2006-01-01 08:00:00,1.9333333333333333,29,109,29,0,4.9,56.11,82.09,6,1.6,38.2,38.2,8,1,1,0.26605504587155965
2006-01-01 08:30:00,4.833333333333333,70,192,69,4,6.4,50.58,77.45,7,1.7000000000000002,48.8,19.6,8,1,1,0.3645833333333333
2006-01-01 09:00:00,22.3,45,269,45,0,7.800000000000001,48.34,73.17,7,1.8,59.4,1.0,9,1,1,0.16728624535315986
2006-01-01 09:30:00,11.066666666666668,25,341,25,0,8.4,46.37,69.33,6,2.0,66.45,11.6,9,1,1,0.07331378299120235
2006-01-01 10:00:00,1.75,48,402,48,0,9.1,44.77,66.01,6,2.2,73.5,22.2,10,1,1,0.11940298507462686
2006-01-01 10:30:00,11.1,60,452,60,0,9.3,44.12,63.3,6,2.1,66.05,15.7,10,1,1,0.13274336283185842
2006-01-01 11:00:00,1.7,55,488,55,0,9.6,48.63,61.29,6,1.9,58.6,9.2,11,1,1,0.11270491803278689
2006-01-01 11:30:00,0.7000000000000001,86,509,86,1,9.2,49.95,60.05,6,1.7000000000000002,45.8,7.6,11,1,1,0.16895874263261296
2006-01-01 12:00:00,11.983333333333334,109,519,108,1,8.8,59.76,59.63,6,1.5,33.0,6.0,12,1,1,0.21001926782273603
2006-01-01 12:30:00,14.933333333333332,92,510,92,1,8.1,62.65,60.04,6,2.1,17.550000000000004,4.7,12,1,1,0.1803921568627451
2006-01-01 13:00:00,2.6166666666666667,90,489,89,1,7.300000000000001,66.08,61.27,6,2.6,2.1,3.4,13,1,1,0.18404907975460122
2006-01-01 13:30:00,1.1333333333333335,45,451,45,0,7.300000000000001,66.01,63.27,6,2.9000000000000004,1.3,5.35,13,1,1,0.09977827050997783
2006-01-01 14:00:00,3.9499999999999997,45,401,44,0,7.300000000000001,68.79,65.97,6,3.2,0.5,7.3,14,1,1,0.11221945137157108
2006-01-01 14:30:00,3.4333333333333336,43,338,43,0,7.1000000000000005,69.74,69.28,6,2.4000000000000004,0.25,4.05,14,1,1,0.12721893491124261
2006-01-01 15:00:00,0.11666666666666665,14,266,14,0,7.0,77.76,73.12,6,1.7000000000000002,0.0,0.8,15,1,1,0.05263157894736842
2006-01-01 15:30:00,0.0,9,188,9,0,6.5,80.47,77.4,6,1.7000000000000002,0.0,0.4,15,1,1,0.047872340425531915
